asset_clas,asset_cd,location_d,steward,maintained,maint_info,life_cycle,asset_type,style
"",LIV009,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MOP671,,CALGARY PARKS,CALGARY PARKS,2017/07/05: SEE REPOSITORY FOR FLAG CIRCLE ORDER; R:\Grounds\Procedures\MOP671\FLAG_CIRCLE_ORDER,ACTIVE,FLAG POLE,NOT APPLICABLE
"",BOW220,,CALGARY PARKS,CALGARY PARKS,CONCRETE BASE,ACTIVE,BBQ,NOT APPLICABLE
"",GPK056,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",ERL246,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",BLN007,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",SET017,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2026/12/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
ACR 3 FL ACR 4 RUSTED THROUGH BACK,ING037,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
2021/03/31: AS PER J ROZEMA-STINSON THIS IS A TI PROJECT; DATES ARE FROM TCA TRACKER HEADER PORTION IN EMAIL SEE R:\Subdivision_Development\TI PROJECTS\ST1\ST1938,ST1938,,CALGARY PARKS,CALGARY PARKS,BIRDHOUSE - SWALLOWS,ACTIVE,BIRDHOUSE,NOT APPLICABLE
"",MCT834,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",CHW375,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,FIRE PIT,NOT APPLICABLE
2020/06/03: USED SITE ELEMENT DATE; OAA EXPIRED 2015/09/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,MAH455,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",BLN004,,CALGARY PARKS,CALGARY PARKS,DOG POST OR TIE-DOWN RAIL,ACTIVE,DOG EQUIPMENT,NOT APPLICABLE
"",CED107,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,FLAG POLE,NOT APPLICABLE
"",BLN008,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
2022/03/01: NO DAS OR PICTOMETRY AT TIME OF CAPTURE; MAY NEED TO BE REALIGNED,GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BINOCULAR OR VIEWER,NOT APPLICABLE
"",MCT831,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",CAR003,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",CAR003,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
2020/06/03: USED SITE ELEMENT DATE; OAA EXPIRED 2015/09/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,MAH455,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SAD341,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",MLR000,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SPH989,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",MCT834,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
AGOL -ACR 2,ALT701,,CALGARY PARKS,CALGARY PARKS,AGOL PROJECT - INSTALL DATE MAY BE INCORRECT,ACTIVE,FIRE PIT,NOT APPLICABLE
"",MCT810,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MOP671,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",FAI205,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2026/09/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,LITTLE LIBRARY,NOT APPLICABLE
"",RIC700,RICHMOND GREEN DEPOT,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
acr 3,BOW220,,CALGARY PARKS,CALGARY PARKS,CONCRETE BASE,ACTIVE,BBQ,NOT APPLICABLE
AGOL - ACR 2,MRT323,,CALGARY PARKS,CALGARY PARKS,AGOL PROJECT - INSTALL DATE MAY BE INCORRECT,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",CAR004,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
ACR 3 XX ACR 2,DNW129,,CALGARY PARKS,CALGARY PARKS,EQUIPARC EP5830 METALLIC GREY,ACTIVE,BIKE STAND,NOT APPLICABLE
"",MCT800,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MDH002,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",MCT834,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT800,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
2022/02/07: AS PER R MAY FAC REJECTED IN 2021,GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
"",GRE001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
CMLC PROJECT; 2017/01/30: NO OFFICIAL CCC DOC; SEE REPOSITORY R\SUBDIVISION_DEVELOPMENT\URBAN_DEVELOPMENT_DOCUMENTS\2009\2009-001,DNE110,,CALGARY PARKS,DEVELOPER CONSTRUCTION,ELECTRICAL PANEL; 2016/12/27: EMAIL SENT TO T SYKES & N CHRISP TO SEE IF MAINTAINED BY ROADS OR PARKS; 2017/01/30 NO RESPONSE YET,INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",SPR778,,CALGARY PARKS SHARED,LEASE HOLDER,LEASE ON SITE; LSE-303,ACTIVE,BIKE STAND,NOT APPLICABLE
AGOL - ACR 2,PIN027,,CALGARY PARKS SHARED,LEASE HOLDER,AGOL PROJECT - INSTALL DATE MAY BE INCORRECT,ACTIVE,BIKE STAND,UPRIGHT
"",12B001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
XX ACR 2,DNW129,,CALGARY PARKS,CALGARY PARKS,EQUIPARC EP5830 METALLIC GREY,ACTIVE,BIKE STAND,NOT APPLICABLE
"",ALT702,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",DNC130,,CALGARY PARKS,DEVELOPER CONSTRUCTION,"2022/06/27: AS PER A KING, SENIOR PROJECT MANAGER, FAC SCHEDULED TO BE ISSUED AFTER 2023-03-09",INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT834,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",PAN060,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/12/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",HSN003,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,BIKE STAND,NOT APPLICABLE
"",GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
2015/09/24: SPATIAL AS PER 2012 LAYOUT PLAN,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
INSTALL DATE UNKNOWN,NEB841,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/03/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",BNK872,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",BRT356,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2026/12/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,FIRE PIT,NOT APPLICABLE
"",CIT967,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",CAR004,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,INSTALLED,ELECTRIC PLUG IN,NOT APPLICABLE
"",SDC033,,CALGARY PARKS SHARED,LEASE HOLDER,FLUOR DANIEL LEASE;99 YEAR LEASE;THEY MAINTAIN EVERYTHING INCUDING PATHWAY,ACTIVE,BIKE STAND,UPRIGHT
"",RIC700,RICHMOND GREEN DEPOT,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
ACR 3,ALT701,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
FL ACR 2,ING999,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",EAU121,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",EAU131,,OUTSIDE AGENCY,OUTSIDE AGENCY,2017/09/13: AS PER N CRISP THESE ARE PRIVATELY MAINTAINED,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SIG725,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FLAG POLE,NOT APPLICABLE
2022/02/07: AS PER R MAY FAC REJECTED IN 2021,GPK704,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,BBQ,NOT APPLICABLE
"",WHL472,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",KIL874,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",GPK701,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
ACR 3,WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
"",MCT800,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SET013,,CALGARY PARKS,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/12/01 - SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,20 AMP
2020/06/03: USED SITE ELEMENT DATE; OAA EXPIRED 2015/09/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,MAH455,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",BRD852,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2025/09/01 -SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,LITTLE LIBRARY,NOT APPLICABLE
"",SIG725,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FLAG POLE,NOT APPLICABLE
INSTALL DATE UNKNOWN,NEB845,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/03/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
DOG PLAY SPACE EQUIPMENT,CUR005,,CALGARY PARKS,DEVELOPER CONSTRUCTION,DOG-WEAVE POSTS,INSTALLED,DOG EQUIPMENT,NOT APPLICABLE
"",HIL679,,CALGARY PARKS SHARED,DEVELOPER AGREEMENT,,INSTALLED,BIKE STAND,NOT APPLICABLE
XX LITTLE FREE LIBRARY ACR 2,HPK821,,CALGARY PARKS,CALGARY PARKS,OAA EXPIRED 2018/09/10-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,BIRDHOUSE,NOT APPLICABLE
"",GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FIRE PIT,NOT APPLICABLE
2020/06/03: USED SITE ELEMENT DATE; OAA EXPIRED 2015/09/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,MAH455,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",LEG103,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2024/09/27-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SNA868,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MCT823,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",DRG544,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",BLN007,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",BRD774,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",SOW224,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",RIC700,RICHMOND GREEN DEPOT,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",KIL874,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
INSTALL DATE UNKNOWN,NEB841,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/03/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
2020/12/10: USED SAME DATES AND ACQUISITION METHOD AS HARD SURFACE A-51218278,SOV770,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",GPK704,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
FL ACR 2,ING999,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",LIV009,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/04/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",BLN007,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",MPK548,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,LOW
"",RSN014,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
OAA EXPIRED 2011/12/31-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,AUB200,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",DNC070,,CALGARY PARKS,CALGARY PARKS,ELECTRICAL PANEL 4N2N,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",MOP671,,CALGARY PARKS,CALGARY PARKS,2017/07/05: SEE REPOSITORY FOR FLAG CIRCLE ORDER; R:\Grounds\Procedures\MOP671\FLAG_CIRCLE_ORDER,ACTIVE,FLAG POLE,NOT APPLICABLE
"",GRI000,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,FLAG POLE,NOT APPLICABLE
"",WSP042,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2029/04/01 SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",ARB305,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",EVE954,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,DOG BAG DISPENSER,NOT APPLICABLE
"",APP903,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,BIKE STAND,UPRIGHT
"",MCT834,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2028/02/22-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",EVN019,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,FLAG POLE,NOT APPLICABLE
FL ACR 2,ING999,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,UPRIGHT
"",WLD050,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BBQ,NOT APPLICABLE
"",ING037,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",PEN578,,OUTSIDE AGENCY,OUTSIDE AGENCY,,ACTIVE,FLAG POLE,NOT APPLICABLE
AGOL - ACR 2,BOW220,,CALGARY PARKS,CALGARY PARKS,AGOL PROJECT - INSTALL DATE MAY BE INCORRECT,ACTIVE,FLAG POLE,NOT APPLICABLE
"",PAN043,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2027/12/01-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL_AMENITY_AGREEMENTS,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
2015/09/24: SPATIAL AS PER 2012 LAYOUT PLAN,BOW220,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",RIC700,RICHMOND GREEN DEPOT,CALGARY PARKS,CALGARY PARKS,,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
"",SPH989,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,BIKE STAND,NOT APPLICABLE
"",CRE876,,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT,OAA EXPIRES 2023/02/20-SEE REPOSITORY R:\AGREEMENTS\OPTIONAL AMENITY AGREEMENTS,ACTIVE,OTHER EQUIPMENT,ART GALLERY
"",EAU131,,OUTSIDE AGENCY,OUTSIDE AGENCY,2017/09/13: AS PER N CRISP THESE ARE PRIVATELY MAINTAINED,ACTIVE,ELECTRIC PLUG IN,NOT APPLICABLE
