site_name,Park_Type,Shape_Length,Shape_Area
HENINGER PARK,SUBNEIGHBOURHOOD PARK,252.057806102257132,3118.991841692936760
LAYCOCK PARK,REGIONAL PARK,2531.970730272407764,210264.748093538015382
VARANGER PARK; CHRISTINE MEIKLE SCHOOL,NEIGHBOURHOOD PARK,851.167551773505920,37072.410267955892778
LIONS PARK,NEIGHBOURHOOD PARK,1718.653985876155275,25676.124884859156737
WEST DOVER (HOFER MEMORIAL) PARK; GFL 55+ SOCIETY ACTIVITY CENTRE,COMMUNITY PARK,988.106537546379855,52423.743312108359532
TWEED PARK,SUBNEIGHBOURHOOD PARK,754.777643974476746,23425.873530365410261
POETIC PARK,SUBNEIGHBOURHOOD PARK,120.176993412811726,785.785560246592127
BOTTOMLANDS PARK,REGIONAL PARK,1949.112003319111409,124502.084293729072670
STANLEY JONES PARK,SUBNEIGHBOURHOOD PARK,414.341846384553833,10811.851071382739974
PEARCE ESTATE PARK; SAM LIVINGSTON FISH HATCHERY; HARVIE PASSAGE,REGIONAL PARK,4152.459491390271978,231179.280605054082116
BREWERY TRIANGLE,SUBNEIGHBOURHOOD PARK,395.582421855233520,4217.139654952863566
DEERFOOT ATHLETIC PARK,REGIONAL PARK,2199.992669767516418,150230.661337253492093
BUFFALO PARK,SUBNEIGHBOURHOOD PARK,293.160307213815656,6227.993719726450763
WEASELHEAD FLATS,REGIONAL PARK,19386.897642584779533,2085682.662731558550149
CONNAUGHT PARK; HISTORICALLY KNOWN AS ST STEPHENS KIWANIS PARK,SUBNEIGHBOURHOOD PARK,236.365427076701621,3325.748420880772301
BOWGLEN PARK,SUBNEIGHBOURHOOD PARK,313.029371987958427,4922.457522882907142
CAPITOL HILL PARK,SUBNEIGHBOURHOOD PARK,489.018975243811894,14644.405848381222313
BADEN-POWEL PARK,NON-PARK,383.582782293618493,5723.457598143235373
MARTY WOOD PARK,SUBNEIGHBOURHOOD PARK,175.814899136255747,1902.209284581266502
BETHANY SLOPE,NEIGHBOURHOOD PARK,1056.447039715306573,30514.973045545808418
MOK'NSTSIS PARK,SUBNEIGHBOURHOOD PARK,286.920780602782827,2976.793152844707038
MCHUGH BLUFF,COMMUNITY PARK,2464.096062371374046,86704.101857948131510
SOUTH TUSCANY RAVINES,DISTRICT PARK,2353.617495993409193,89791.167367212314275
WEST NOSE CREEK PARK; CONFLUENCE PARK,REGIONAL PARK,5284.853200559973629,716239.535359143628739
BIG MARLBOROUGH PARK; DR GLADYS MCKELVIE EGBERT SCHOOL; ROLAND MICHENER ELEM; ST MARTHA SCHOOL,REGIONAL PARK,2710.546730657649732,260806.575165640999330
RIVER PARK,REGIONAL PARK,3399.577301539671680,243585.913991474604700
ISLAND PARK,NEIGHBOURHOOD PARK,1187.920506419619869,24168.027917546940444
GOOSE PARK,SUBNEIGHBOURHOOD PARK,770.981753671420165,6089.258512808823980
QUARRY PARK NATURAL AREA,DISTRICT PARK,5408.636722432929673,204023.448556371033192
RADIO TOWER WETLANDS,DISTRICT PARK,3571.749004998855071,305262.364176795003004
BABBLING BROOK PARK,COMMUNITY PARK,1636.808890065144169,24234.313544383705448
RADAR CORNER PARK,SUBNEIGHBOURHOOD PARK,213.745847901669407,2574.578044164545645
BIG MEADOWLARK PARK,SUBNEIGHBOURHOOD PARK,473.225947526430957,14054.133082242544333
BEAVER DAM FLATS; MILLICAN PARK,DISTRICT PARK,6154.864449876209619,413732.838530699722469
BUFFALO RUBBING STONE HISTORIC SITE,SUBNEIGHBOURHOOD PARK,152.678069345918090,1576.226917559383537
BUTTERFLY PARK,SUBNEIGHBOURHOOD PARK,235.249386369900861,2660.821021142693098
MAPLE LEAF PARK,NEIGHBOURHOOD PARK,783.993287437826780,37967.089696472408832
EDWORTHY PARK,REGIONAL PARK,3001.413255474268226,191401.304031515406677
CRESCENT PARK,COMMUNITY PARK,1072.367251577673642,56570.867012276466994
EDWORTHY PARK,REGIONAL PARK,13276.171711527427760,1153629.966442627832294
WOLFE PARK,SUBNEIGHBOURHOOD PARK,456.817279933108409,14768.798507659628740
CENTURY GARDENS; CENTURY GARDENS PARK DEPOT & PUMPHOUSE,SUBNEIGHBOURHOOD PARK,393.006041445659378,9261.568171939412423
CHATHAM PLACE PARK,SUBNEIGHBOURHOOD PARK,270.512484608180159,4365.635240106063975
BONNIE LAING PARK,SUBNEIGHBOURHOOD PARK,279.605129774994680,4952.064160054661443
FLINT ROAD SLOPE PARK,NEIGHBOURHOOD PARK,1688.818159465443387,30077.473070137377363
HARRY HUISH PARK,COMMUNITY PARK,2344.624143081126931,65824.102822350876522
HAMPTONS RAVINE,DISTRICT PARK,5534.332110261550952,119685.433934770597261
KERRY PARK,SUBNEIGHBOURHOOD PARK,179.050494071747011,2195.458166139076639
HUMPY HOLLOW PARK,SUBNEIGHBOURHOOD PARK,209.911692301800485,2387.772723977165697
CHRYSLER PARK,SUBNEIGHBOURHOOD PARK,417.784483879323830,1562.208615249293189
HAWKSTONE FIELD; HAWKWOOD COMMUNITY PARK,COMMUNITY PARK,1048.698801950958796,63077.257768131930789
LOOMIS PARK,SUBNEIGHBOURHOOD PARK,137.680369427662953,1168.557180528788649
BATTALION PARK; SIGNAL HILL,COMMUNITY PARK,1948.467396701470079,74186.964675515802810
PEIGAN TRAIL WETLANDS,DISTRICT PARK,2396.163544477700270,272266.442357976513449
NOSE HILL PARK,REGIONAL PARK,14172.173841177469512,11241196.779918853193521
MERRILL PARK,SUBNEIGHBOURHOOD PARK,326.069112075050498,5240.032839287175193
MILLS PARK,SUBNEIGHBOURHOOD PARK,287.239755275760899,4220.874419143260639
HIDDEN HUT PARK,NEIGHBOURHOOD PARK,912.265270883444259,37525.336144778964808
JAMES GRAY PARK,SUBNEIGHBOURHOOD PARK,340.609793777148241,2778.819947898648934
ROTARY PARK,REGIONAL PARK,1190.957384305002279,59683.242889907662175
PAGET PARK,SUBNEIGHBOURHOOD PARK,119.125702638738019,714.204098968921812
MAHOGANY WETLANDS,DISTRICT PARK,4394.701658863159537,304800.154639310960192
G. MAX BELL PARK; MAX BELL ARENA; WESTERN IRRIGATION DISTRICT (WID),DISTRICT PARK,3618.346876017605609,317638.111156502447557
CONFEDERATION PARK 1,REGIONAL PARK,2935.151682277285090,197097.544459753145929
STANLEY PARK; STANLEY PARK DEPOT,REGIONAL PARK,2750.263113484445057,182705.528298973338678
CANBERRA PARK,NON-PARK,155.136804769161444,732.784185708835025
EGERT'S PARK,DISTRICT PARK,4427.500486162806737,175307.711212948692264
LEVIS PARK,SUBNEIGHBOURHOOD PARK,270.158029612320036,3975.037385758425899
POP DAVIES ATHLETIC PARK,ATHLETIC PARK,2010.382735049286339,164974.696849906526040
CARDSTON PARK,SUBNEIGHBOURHOOD PARK,132.960466728810474,1087.321186430430544
INGLEWOOD CORRIDOR,COMMUNITY PARK,1707.415787772539716,50169.679568983301579
PATTON PARK,SUBNEIGHBOURHOOD PARK,349.358060856671045,3234.748916586313953
CENTRAL DALHOUSIE COULEE; ST DOMINIC ELEM,NEIGHBOURHOOD PARK,974.908646582025540,36497.266885094984900
LA PIAZZA,SUBNEIGHBOURHOOD PARK,179.200796546903092,971.527038413354717
THE BRAWN FAMILY FOUNDATION ROTARY PARK,SUBNEIGHBOURHOOD PARK,436.028965983502133,5525.101447125664890
NORTH GLENMORE PARK; NORTH GLENMORE PARK DEPOT,REGIONAL PARK,8882.571095704717663,811299.269972584326752
CENTRAL MEMORIAL PARK,REGIONAL PARK,605.120301217566634,20266.022308388011879
SOMERSET TOWNE SQUARE PARK,NEIGHBOURHOOD PARK,649.647948440185246,27109.446419033301936
,LINEAR PARK,2284.586886595434862,11296.584232822073318
12 MILE COULEE PARK,COMMUNITY PARK,2900.724969126174528,80325.824674785646494
BOWMONT PARK,REGIONAL PARK,15805.715116729679721,1226139.693049813853577
POPPY PARK; LANDSCAPE OF MEMORY,REGIONAL PARK,4140.159274629731954,55570.662400225919555
ST ANDREWS HEIGHTS ESCARPMENT,DISTRICT PARK,2885.938303800985977,126985.703988690118422
SCHULE PARK,NEIGHBOURHOOD PARK,1097.978713802965785,26245.830932006356306
HELEN'S GARDEN,SUBNEIGHBOURHOOD PARK,204.570201171983086,1943.154782849430603
WEST CONFEDERATION PARK; FORMERLY CANMORE PARK,REGIONAL PARK,2151.336932475264348,168398.020737857528729
BOTTOMLANDS PARK,COMMUNITY PARK,2540.920243289544942,96429.879488309888984
BRIAR HILL PARK,SUBNEIGHBOURHOOD PARK,442.279077881703699,12277.120606002696150
,LINEAR PARK,449.453209599943136,2956.884326680835329
NORTH TUSCANY RAVINES,COMMUNITY PARK,2648.505708305332973,64404.116091183030221
SUNALTA COMMUNITY CENTRE,SUBNEIGHBOURHOOD PARK,359.412009869517192,7753.576978592107480
MEDICINE HILL / PASKAPOO SLOPES,COMMUNITY PARK,2378.465959808880598,108006.046394933771808
SUE HIGGINS PARK,REGIONAL PARK,4688.318546732587492,466635.985625754343346
TALON PARK,SUBNEIGHBOURHOOD PARK,288.138005501761086,3434.178338078139859
SOUTH DALHOUSIE COULEE,SUBNEIGHBOURHOOD PARK,1220.627426822841699,16419.526017907963251
GARDEN CRESCENT PARK,SUBNEIGHBOURHOOD PARK,164.390692596191741,748.510926458274866
PIONEER NURSERYMEN CENTURY PARK,SUBNEIGHBOURHOOD PARK,203.135007790945849,2253.169171460114740
CHELTENHAM PARK,SUBNEIGHBOURHOOD PARK,130.027455393737199,1096.591822660602702
ERNEST MANNING ATHLETIC PARK; ERNEST MANNING HIGH SCHOOL,ATHLETIC PARK,1266.445564799687418,74779.904427722198307
CONFEDERATION PARK 2; NORTH MAIN OFFICE (CONFEDERATION),REGIONAL PARK,2729.527834582487685,172224.364653402561089
BRONCONNIER PARK,SUBNEIGHBOURHOOD PARK,173.450032164505103,1529.749969191924492
MACKINTOSH PARK,SUBNEIGHBOURHOOD PARK,393.570835723666448,9907.917044802577948
DALE HODGES PARK,REGIONAL PARK,4630.231371034341464,591093.746881123050116
GRIFFITH WOODS NATURAL AREA ENVIRONMENT PARK,REGIONAL PARK,11825.100116235209498,1144137.276881314115599
PAUL 'SMOKEY' WILKINSON PARK,SUBNEIGHBOURHOOD PARK,452.527879370142955,5756.601335135936097
DR LESLIE ALLAN PARK,SUBNEIGHBOURHOOD PARK,428.752875476220765,10300.095617199463959
STRATHCONA RAVINES,COMMUNITY PARK,3571.312555915813846,119591.062923795441748
WESTSIDE RECREATION CENTRE,COMMUNITY PARK,1444.136876721188628,94886.778306170046562
GRAND TRUNK PARK,SUBNEIGHBOURHOOD PARK,342.875549111409214,7334.361807745874103
MARY AND CATHERINE BARCLAY PARK,SUBNEIGHBOURHOOD PARK,116.137194175104796,807.269710623202513
PEONY PARK,SUBNEIGHBOURHOOD PARK,401.527729695021435,10330.395749544140926
VICTORY PARK,SUBNEIGHBOURHOOD PARK,452.555874224888157,10266.984976687208473
BONNER WETLANDS,COMMUNITY PARK,991.952005158477732,51319.629426034764037
ORCHARD PARK,SUBNEIGHBOURHOOD PARK,211.226613388260773,2615.199555860995588
EDGEMONT RAVINE,DISTRICT PARK,10992.059171970040552,581792.874818760901690
TEACHER'S CORNER,SUBNEIGHBOURHOOD PARK,134.996347696251888,963.651676907813794
MEDICINE HILL / PASKAPOO SLOPES,DISTRICT PARK,4239.843260427319365,256172.969196886580903
LAWREY GARDENS,REGIONAL PARK,3387.639426937058943,170023.690637951571262
BOWNESS PARK; BOWNESS PARK DEPOT,REGIONAL PARK,4051.750045039420002,296333.815963365021162
HYDRANT PARK,SUBNEIGHBOURHOOD PARK,150.394844785967564,1141.946865043259322
SUNKEN GARDEN PARK,SUBNEIGHBOURHOOD PARK,578.739327119854465,18433.664082052149752
NORTH TUSCANY RAVINES,SUBNEIGHBOURHOOD PARK,1340.942689967022034,16392.247238229989307
SOUTH TUSCANY RAVINES,SUBNEIGHBOURHOOD PARK,828.490937295250205,18782.864537767283764
ROULEAUVILLE SQUARE,SUBNEIGHBOURHOOD PARK,214.814816951803351,2492.211937114535885
JEFFERIES PARK,SUBNEIGHBOURHOOD PARK,336.540362546897313,5055.002732265626946
DAVID RICHARDSON MEMORIAL DISC GOLF PARK,DISTRICT PARK,2905.289299223180933,179680.411931720998837
TOMKINS PARK,SUBNEIGHBOURHOOD PARK,344.767054372331927,3195.376332846703463
WILLIAM ABERHART PARK,SUBNEIGHBOURHOOD PARK,303.128203377926695,4807.818886024471794
UNIVERSITY RESEARCH PARK,SUBNEIGHBOURHOOD PARK,590.537471362818223,22393.671981152037915
MUNRO PARK,NEIGHBOURHOOD PARK,728.160485457244363,31453.369803953861265
VERNA REID PARK,SUBNEIGHBOURHOOD PARK,383.736374430282240,7798.747447046566776
JACK AND JEAN LESLIE RIVERWALK,REGIONAL PARK,1520.251316917769145,37774.279265756893437
BRITANNIA SLOPES,DISTRICT PARK,4258.912455302520357,207367.603864759876160
RANCHLANDS PARK; ST RITA ELEM; RANCHLANDS ELEM; RANCHLANDS COMMUNITY ASSOC,COMMUNITY PARK,1504.039926770957436,104616.069619193673134
CRAIG REID PARK,SUBNEIGHBOURHOOD PARK,375.690609383293861,8366.850533038592403
HOLLY ACRES PARK,SUBNEIGHBOURHOOD PARK,115.796554570371484,835.733699208054304
BETH ISRAEL MEMORIAL PARK,SUBNEIGHBOURHOOD PARK,381.986120632359473,5110.666193413134351
RALPH KLEIN PARK,REGIONAL PARK,8152.483948114465420,2758670.778200355824083
NEW EDINBURGH PARK,SUBNEIGHBOURHOOD PARK,338.203793680424212,5125.669824952099589
READER ROCK GARDEN; READER ROCK GARDEN DEPOT,REGIONAL PARK,1131.540976759773002,28789.887531715688965
HIDDEN VALLEY LAKE PARK,NEIGHBOURHOOD PARK,1180.058906054370254,35488.609984823873674
HAULTAIN PARK,SUBNEIGHBOURHOOD PARK,420.074441146084041,11167.570442845188154
DOUGLASDALE NATURAL AREA SOUTH,DISTRICT PARK,2760.920596924850997,114593.135099377439474
OLMSTED TERRACE,SUBNEIGHBOURHOOD PARK,406.624711021878511,3376.713595277296008
TURTLE HILL PARK,NEIGHBOURHOOD PARK,1078.377200840306386,29806.663440959353466
SIEN LOK RIVERFRONT PROMENADE,REGIONAL PARK,967.382862781062954,16265.949984483411754
BEAULIEU GARDENS; LOUGHEED HOUSE,SUBNEIGHBOURHOOD PARK,287.399392887510032,4617.575660415028324
JACK LONG PARK; ALEXANDRA CENTRE,SUBNEIGHBOURHOOD PARK,401.724106795514217,9707.485465358669899
RILEY PARK; RILEY PARK DEPOT,REGIONAL PARK,1262.286428688742717,91505.313668744929601
BOTANICAL GARDENS OF SILVER SPRINGS; BIRTHPLACE FOREST 2002,DISTRICT PARK,2922.441041805512214,133221.113702123780968
GEORGE GELL PARK,SUBNEIGHBOURHOOD PARK,404.488285989271219,10403.737663562420494
INGLEWOOD BIRD SANCTUARY,REGIONAL PARK,3752.608698916763842,403395.950850877678022
STRATHCONA RAVINES,DISTRICT PARK,3494.319905599830690,148345.633933834236814
GLENMORE ATHLETIC PARK,ATHLETIC PARK,2862.094591386745833,344315.712648753193207
FLYOVER PARK,SUBNEIGHBOURHOOD PARK,666.520839024397901,6071.209002845433133
12 MILE COULEE PARK,REGIONAL PARK,10011.591671924848924,893591.834700075560249
BURNS ROCK GARDEN,REGIONAL PARK,531.261602877315227,14205.533612793078646
RICHMOND GREEN,DISTRICT PARK,2007.049887808643462,173040.242094505083514
NELLIE BREEN PARK,SUBNEIGHBOURHOOD PARK,166.202065882332704,1502.037146379917658
ACADIA ATHLETIC PARK; ALBERTA TENNIS CENTRE,ATHLETIC PARK,799.610003832223811,39919.830369960625831
PRINCE'S ISLAND PROMENADE; PEACE PARK,REGIONAL PARK,2908.532996014716446,87747.454122923663817
AIRWAYS PARK,DISTRICT PARK,3005.473005853861650,178235.698227679618867
BARB SCOTT PARK,SUBNEIGHBOURHOOD PARK,302.647888403156458,5469.067153151703678
EDGEMONT ESCARPMENT,DISTRICT PARK,10025.567986723777722,807154.690142516512424
NIMMONS PARK,SUBNEIGHBOURHOOD PARK,310.187948135678312,4286.470527280383976
FLANDERS PARK,NEIGHBOURHOOD PARK,823.325007953102727,26839.616337368330278
J.H. WOODS PARK,NEIGHBOURHOOD PARK,2085.449636453426592,29502.901782885826833
VALLEYVIEW PARK; CALGARY BEACH VOLLEYBALL ASSOC.,REGIONAL PARK,2250.151302280588425,110725.751713878911687
NORTH TUSCANY RAVINES,COMMUNITY PARK,2555.940834900705795,75111.164575566523126
CORNELL PARK,SUBNEIGHBOURHOOD PARK,282.518748328924346,4173.101133782250145
UPPER ELBOYA PARK,SUBNEIGHBOURHOOD PARK,489.316951470144659,14242.840293114075394
ERLTON PARK,SUBNEIGHBOURHOOD PARK,181.594547003493801,1935.679753734459837
,LINEAR PARK,3750.753395369873942,57704.304739418061217
VARSITY RAVINE PARK,COMMUNITY PARK,2678.545533811902260,110138.797668431128841
FOREST LAWN PARK,SUBNEIGHBOURHOOD PARK,450.089305886454440,12270.895499946294876
DEVONIAN GARDENS,REGIONAL PARK,458.240560798002832,10651.140504275870626
BOWNESS PARK EAST NATURAL AREA,REGIONAL PARK,1365.562597352654166,51023.355197221259004
LAWSON'S PARK,SUBNEIGHBOURHOOD PARK,368.837032970184453,6214.165795915256240
HILLHURST TRIANGLE,SUBNEIGHBOURHOOD PARK,141.795151860258699,971.313996767330309
,SUBNEIGHBOURHOOD PARK,1039.825964946770000,22625.743528031303867
,SUBNEIGHBOURHOOD PARK,1986.842747793529497,17867.844376467899565
,SUBNEIGHBOURHOOD PARK,293.420378593205157,5401.307540654538570
,SUBNEIGHBOURHOOD PARK,248.934430020881052,3888.385276054452788
,SUBNEIGHBOURHOOD PARK,336.879057947601837,4791.705790355526915
,NON-PARK,56.637076540147135,121.122667257527667
,NEIGHBOURHOOD PARK,973.244143037471417,41023.396329854527721
,SUBNEIGHBOURHOOD PARK,297.945958199217046,5229.865367890146445
,SUBNEIGHBOURHOOD PARK,369.279183879181232,2376.852548730665603
,SUBNEIGHBOURHOOD PARK,195.729877550553368,1132.306981285750453
,SUBNEIGHBOURHOOD PARK,283.873521474054257,5072.069751243437167
RON SOUTHERN ELEM,NEIGHBOURHOOD PARK,834.939270250295294,43647.840326110948808
,NEIGHBOURHOOD PARK,855.083554470927538,28314.592750854470069
,SUBNEIGHBOURHOOD PARK,796.624326261674810,7796.606287195505502
,SUBNEIGHBOURHOOD PARK,658.126749180707179,5559.539244848685485
,SUBNEIGHBOURHOOD PARK,275.028215151989230,4283.798901161234426
,SUBNEIGHBOURHOOD PARK,324.725985365433701,2045.856755747822490
,LINEAR PARK,1113.923148616768913,10416.994831138888912
,NEIGHBOURHOOD PARK,949.431864964121928,44591.340149007184664
,SUBNEIGHBOURHOOD PARK,267.826375548894248,4104.949009770562952
,COMMUNITY PARK,1109.947927415664935,63691.266177157529455
,SUBNEIGHBOURHOOD PARK,675.820156169096776,21230.897649774244201
,SUBNEIGHBOURHOOD PARK,443.657705284968472,10666.081766768833404
BROOKFIELD RESIDENTIAL YMCA AT SETON; JOANE CARDINAL-SCHUBERT HIGH SCHOOL,DISTRICT PARK,1756.494937508115527,191490.294582234841073
,NEIGHBOURHOOD PARK,625.738317862352687,27563.366492703808035
,COMMUNITY PARK,1339.439033717592565,55317.617218226529076
,DISTRICT PARK,4027.838285014873236,270156.945316492812708
,SUBNEIGHBOURHOOD PARK,350.591508688504007,4196.838853448189184
,SUBNEIGHBOURHOOD PARK,452.282982954150214,10533.793309286966178
,SUBNEIGHBOURHOOD PARK,452.580718244451475,9716.570641904814693
,NEIGHBOURHOOD PARK,925.801792198225826,44183.140184648313152
,SUBNEIGHBOURHOOD PARK,366.758477793300699,6550.728342041003089
,LINEAR PARK,807.080941393347985,10666.486232675182691
,SUBNEIGHBOURHOOD PARK,283.055756802884446,4425.840556522568477
,SUBNEIGHBOURHOOD PARK,239.509519070417895,3479.071074062547723
,SUBNEIGHBOURHOOD PARK,359.171197909959858,7241.871564625493193
,SUBNEIGHBOURHOOD PARK,636.843341820603314,18084.689658506922569
,LINEAR PARK,1005.967425282924410,7583.921673115842168
,LINEAR PARK,399.858311605110032,2884.161044600278728
,NEIGHBOURHOOD PARK,1158.547270482112935,34588.644196013010514
,LINEAR PARK,888.627927876824856,5478.157538214104534
,NEIGHBOURHOOD PARK,2762.151048185817672,40191.954341929376824
,COMMUNITY PARK,1330.475318047464725,85558.906530166146695
,SUBNEIGHBOURHOOD PARK,730.062639449920425,4991.130000866234695
,SUBNEIGHBOURHOOD PARK,655.073160856846357,13154.357893044321827
,SUBNEIGHBOURHOOD PARK,180.144676938577163,1693.781167712020988
,SUBNEIGHBOURHOOD PARK,193.163794402871304,2252.133674767949742
,COMMUNITY PARK,1157.341005445030305,66537.500753570668167
,COMMUNITY PARK,1628.538234696658265,82040.432209897975554
,SUBNEIGHBOURHOOD PARK,356.586280199677162,8115.558534578039144
,SUBNEIGHBOURHOOD PARK,338.879096519406630,4547.875223670612286
,SUBNEIGHBOURHOOD PARK,293.667685121058412,5390.989106137008093
,SUBNEIGHBOURHOOD PARK,621.599206141630020,3345.891392945572079
,SUBNEIGHBOURHOOD PARK,464.485398779819320,3123.051469964073021
,SUBNEIGHBOURHOOD PARK,295.016922132595482,1854.226752013951227
,SUBNEIGHBOURHOOD PARK,257.962033235725016,3496.445379234045049
,NON-PARK,76.272641784031507,338.982196140571432
,NON-PARK,89.150286223612937,180.835044712485029
,LINEAR PARK,980.550009037727364,8711.506919533434484
,LINEAR PARK,605.437657979964570,4743.002692284391742
,LINEAR PARK,2035.503975672701927,30837.917899716056127
MAHOGANY ELEM SCHOOL,NEIGHBOURHOOD PARK,716.329644904026054,30678.821297415139270
,COMMUNITY PARK,2156.136991674257843,114841.830712368988316
,DISTRICT PARK,2995.006744954766418,127166.199557876432664
,COMMUNITY PARK,1971.097588190864599,103853.668901378812734
,SUBNEIGHBOURHOOD PARK,330.592203065394699,6566.342303626795001
,SUBNEIGHBOURHOOD PARK,426.919468415098436,9025.663324126639054
,SUBNEIGHBOURHOOD PARK,266.650587427867038,4504.015324478113143
,SUBNEIGHBOURHOOD PARK,282.695884088190496,3403.211860914257613
,SUBNEIGHBOURHOOD PARK,216.379375243218618,977.863907115393772
,NON-PARK,95.664950418752014,97.528259648673242
,SUBNEIGHBOURHOOD PARK,284.911104592274683,2437.421669932788063
,NEIGHBOURHOOD PARK,954.284001285264935,39046.355741834813671
,LINEAR PARK,116.907621079893488,553.062389617226813
,LINEAR PARK,1091.515484479615907,10573.814659220701287
,SUBNEIGHBOURHOOD PARK,305.374924332315231,4886.113762127100927
,NEIGHBOURHOOD PARK,692.517762540928629,25694.045106200941518
,SUBNEIGHBOURHOOD PARK,773.700084317753408,15312.495107549453678
,SUBNEIGHBOURHOOD PARK,310.906846774847168,6034.315116700559884
,SUBNEIGHBOURHOOD PARK,610.465355820841978,10754.109885422982188
,SUBNEIGHBOURHOOD PARK,502.792421629225089,14564.235777151045113
,SUBNEIGHBOURHOOD PARK,622.174922806546419,10191.228260027814031
,SUBNEIGHBOURHOOD PARK,1004.272175499425884,13406.857609145003153
,SUBNEIGHBOURHOOD PARK,298.438084729907644,5249.234760844114135
,SUBNEIGHBOURHOOD PARK,589.191632839846875,8055.640307181758544
,SUBNEIGHBOURHOOD PARK,531.799458507710142,16666.121007312536676
,NON-PARK,347.673912167457956,6571.062449829616526
,SUBNEIGHBOURHOOD PARK,310.951732417692710,5476.339925360300185
,SUBNEIGHBOURHOOD PARK,777.714817257208892,11293.955207801172946
,SUBNEIGHBOURHOOD PARK,458.217065406754330,5437.064239050339893
ROYAL OAK GREENWAY,REGIONAL PARK,4202.615901632455461,17683.258814015291136
,SUBNEIGHBOURHOOD PARK,286.767078970941043,4589.359175700893502
,SUBNEIGHBOURHOOD PARK,247.123461753862188,3866.452087372359983
,SUBNEIGHBOURHOOD PARK,364.244246315063265,1727.155725266168702
,DISTRICT PARK,5582.927165533251355,480731.611154896731023
,SUBNEIGHBOURHOOD PARK,1063.626312532467637,12323.209880976884961
